certificado,producto,fec_nac,fec_ini,fec_fin,t_poliza,vigencia,moneda,beneficio,monto_prima,monto_gasto,dotal,sexo
A4208,producto001,4/24/1987,2/27/2020,4/4/2023,3,3,PEN,10550.91532,138.6077,13.86077,50,F
A4209,producto001,12/28/1988,3/4/2020,3/4/2025,3,4,PEN,8692.60018,138.0907,13.80907,50,F
A4210,producto001,3/28/1991,2/27/2020,4/4/2023,3,3,PEN,42362.08042,556.50914,55.650914,50,F
A4211,producto001,11/9/1976,2/26/2020,3/4/2024,3,4,PEN,53596.57314,847.47674,84.747674,50,F
A4212,producto001,1/7/1987,2/26/2020,3/4/2025,3,5,PEN,8697.7495,138.0907,13.80907,50,F
A4213,producto001,6/9/1987,3/11/2020,3/11/2025,3,4,PEN,8695.69184,138.0907,13.80907,50,F
A4214,producto001,6/19/1978,2/27/2020,3/4/2025,3,5,PEN,38143.25702,723.3347,72.33347,50,F
A4215,producto001,10/21/1984,5/29/2020,6/4/2025,3,5,PEN,74208.41186,1406.72598,140.672598,50,F
A4216,producto001,5/2/1958,3/11/2020,3/11/2025,3,4,PEN,125007.1258,397.2340599,39.72340599,50,F
A4217,producto001,11/7/1982,2/26/2020,3/4/2025,3,5,PEN,8697.7495,138.0907,13.80907,50,F
A4218,producto001,11/26/1993,2/25/2020,3/4/2025,3,5,PEN,44636.92178,843.25802,84.325802,50,F
A4219,producto001,11/8/1963,2/26/2020,5/4/2023,3,3,PEN,71380.3288,925.4817,92.54817,50,F
A4220,producto001,10/27/1976,2/28/2020,3/4/2025,3,5,PEN,78412.68688,1486.09582,148.609582,50,F
A4221,producto001,10/10/1980,2/28/2020,4/4/2023,3,3,PEN,55611.0016,730.1074,73.01074,50,F
A4222,producto001,7/1/1984,2/28/2020,4/4/2023,3,3,PEN,33424.34986,439.31558,43.931558,50,F
A4223,producto001,9/18/1989,2/28/2020,3/4/2025,3,5,PEN,8695.69184,138.0907,13.80907,50,F
A4224,producto001,3/23/1988,2/27/2020,4/4/2023,3,3,PEN,38646.3187,507.0219,50.70219,50,F
A4225,producto001,8/23/1995,2/27/2020,4/4/2023,3,3,PEN,122322.6239,1608.09748,160.809748,50,F
A4226,producto001,11/20/1986,2/26/2020,3/4/2025,3,5,PEN,36711.3428,695.35466,69.535466,50,F
A4227,producto001,1/6/1989,2/28/2020,4/4/2023,3,3,PEN,32176.9943,422.91634,42.291634,50,F
A4228,producto001,4/1/1982,2/29/2020,3/4/2025,3,5,PEN,41457.72334,785.29198,78.529198,50,F
